text,label
"I love this movie! Absolutely fantastic. 😍",positive
"Worst service ever. I'm never coming back.",negative
"It was okay, nothing special.",neutral
"Great job team! We shipped the feature 🚀",positive
"This app keeps crashing... so annoying",negative
"Not bad, but could be better",neutral
"Amazing support from the staff today!",positive
"Terrible update broke my workflow",negative
"Meh",neutral
"What a wonderful experience",positive
"I hate the new UI",negative
"The product is fine, does the job",neutral
"Super happy with my purchase",positive
"Refund took forever. Disappointed.",negative
"Kinda cool I guess",neutral
"Best thing I've used this year",positive
"Spammy notifications are awful",negative
"Nothing to complain about",neutral
"Love the speed improvements!",positive
"This is unacceptable.",negative
